threads,commit-size,batch-size,column-store,temp-table,bulk-mode
1,10000,2000,true,false,true
2,10000,2000,true,false,true
3,10000,2000,true,false,true
1,50000,5000,true,false,true
2,50000,5000,true,false,true
3,50000,5000,true,false,true
1,10000,2000,false,false,false
2,10000,2000,false,false,false
3,10000,2000,false,false,false
1,50000,5000,false,false,false
2,50000,5000,false,false,false
3,50000,5000,true,false,false
1,10000,2000,true,false,false
2,10000,2000,true,false,false
3,10000,2000,true,false,false
1,50000,5000,true,false,false
2,50000,5000,true,false,false
3,50000,5000,true,false,false
3,50000,5000,false,false,true
1,10000,2000,false,false,true
2,10000,2000,false,false,true
3,10000,2000,true,false,true
1,50000,5000,false,false,true
2,50000,5000,false,false,true
3,50000,5000,false,false,true
1,10000,2000,true,true,true
1,10000,2000,true,true,false
1,10000,2000,true,false,false
